"project_id","job_id","authors","active_authors","entities","commits"
"45742","1738494","562","38","11012","33063"
"35613","1036801","1","1","2","4"
"41477","1798846","1","1","175","50"
"34070","815533","45","8","1872","6619"
"38151","1040467","90","8","704","3092"
"46054","1761457","1","1","1","1"
"31717","1783795","2","1","209","121"
"33400","780045","102","12","1205","965"
"34285","827741","402","37","9315","5991"
"44359","1624513","164","19","5456","5162"
"35241","872347","2","1","103","39"
"34439","838848","2","1","103","39"
"35689","1037746","1","1","2","4"
"35894","892333","2","1","11","25"
"23153","914739","87","18","238","334"
"35399","881112","6","1","319","1257"
"35437","883414","2","1","103","39"
"36427","916640","20","4","1642","3630"
"35090","867587","2","1","103","39"
"35278","873809","2","1","11","25"
"33657","797443","35","4","606","3136"
"41265","1275627","2","1","103","39"
"34177","821760","2","1","103","39"
"34296","828838","3","3","10","53"
"42456","1799389","3","1","266","167"
"30473","1799424","9285","1","215537","242005"
"36742","940457","1","1","82","2"
"40239","1211246","32","2","341","1106"
"33557","791889","1","1","63","96"
"35434","883394","2","1","103","39"
"38898","1093297","2","1","11","25"
"34342","832437","2","1","11","25"
"34501","842121","18","1","78","220"
"38059","1034805","1","1","3","1"
"44004","1576108","19","3","2070","10520"
"35509","886026","18","1","78","220"
"34749","857375","2","1","11","25"
"34841","914679","6","6","563","82"
"36204","906450","19","14","11957","223"
"36226","906967","100","3","1829","1506"
"34554","845921","2","1","103","39"
"41071","1270921","762","63","5706","10395"
"33399","780041","19","1","110","229"
"36811","943248","2","1","11","25"
"41144","1270863","87","2","6813","18671"
"38534","1068839","2","1","103","39"
"35189","871080","1","1","50","4"
"34536","844305","2","2","48","27"
"40552","1234868","4","3","129","157"
"35687","1037666","1","1","2","4"
"38108","1038177","2","2","4","4"
"33328","775251","569","34","8901","8556"
"2478","821194","1","1","122","251"
"36946","953965","2","1","103","39"
"39564","1153285","2","1","11","25"
"34702","855140","1","1","7","2"
"33450","783084","18","4","83","309"
"37303","976837","2","1","103","39"
"33282","772467","526","58","7398","7338"
"34045","816059","1","1","54","41"
"35473","1799835","3","3","624","282"
"35203","871348","2","1","103","39"
"34273","826357","2","1","103","39"
"34428","838138","2","1","103","39"
"37378","982753","3","3","132","18"
"34187","822743","6","1","1556","923"
"35882","892205","2","1","103","39"
"43581","1528085","1","1","5","20"
"34074","818772","20","1","23","70"
"36494","921835","2","1","11","25"
"33578","792846","31","9","1413","3731"
"35163","870227","22","9","758","803"
"35961","895106","583","128","3355","3532"
"34491","841194","1","1","12","50"
"36721","937912","4","1","1995","233"
